City,Unemployment Rate 2013,Rank
United States,7.4,
Bismarck,2.8,1
Fargo,3.2,2
Sioux Falls,3.2,2
Ames,3.3,4
Iowa City,3.5,5
Lincoln,3.5,5
Burlington-South Burlington,3.6,7
Grand Island,3.7,8
Midland,3.7,8
Grand Forks,3.8,10
Rapid City,3.9,11
Logan,4,12
Mankato-North Mankato,4,12
Enid,4.1,14
Omaha-Council Bluffs,4.1,14
Rochester,4.2,16
Billings,4.3,17
Manhattan,4.3,17
Odessa,4.3,17
Provo-Orem,4.3,17
Salt Lake City,4.4,21
Urban Honolulu,4.4,21
Casper,4.5,23
Columbia,4.5,23
Dubuque,4.5,23
Amarillo,4.6,26
Des Moines-West Des Moines,4.6,26
Oklahoma City,4.6,26
Sioux City,4.6,26
Ogden-Clearfield,4.7,30
Cheyenne,4.8,31
Lawrence,4.8,31
Minneapolis-St. Paul-Bloomington,4.8,31
Portsmouth,4.8,31
Waterloo-Cedar Falls,4.9,35
Cedar Rapids,5,36
Charlottesville,5,36
Dover-Durham,5,36
Houma-Thibodaux,5,36
Lubbock,5,36
Madison,5,36
Morgantown,5,36
College Station-Bryan,5.1,43
Great Falls,5.1,43
Manchester,5.1,43
St. Cloud,5.1,43
San Angelo,5.1,43
Austin-Round Rock,5.2,48
Ithaca,5.2,48
Kahului-Wailuku-Lahaina,5.2,48
Missoula,5.2,48
La Crosse-Onalaska,5.3,52
State College,5.3,52
Tulsa,5.3,52
Victoria,5.3,52
Abilene,5.4,56
Idaho Falls,5.4,56
Lafayette,5.4,56
Boulder,5.5,59
Fayetteville-Springdale-Rogers,5.5,59
Jefferson City,5.5,59
Lewiston,5.5,59
Portland-South Portland,5.5,59
St. George,5.5,59
Staunton-Waynesboro,5.5,59
Santa Fe,5.6,66
Washington-Arlington-Alexandria,5.6,66
Winchester,5.6,66
Corvallis,5.7,69
Harrisonburg,5.7,69
Ann Arbor,5.8,71
Crestview-Fort Walton Beach-Destin,5.8,71
Fort Collins,5.8,71
Gainesville,5.8,71
Lawton,5.8,71
Pocatello,5.8,71
Roanoke,5.8,71
San Antonio-New Braunfels,5.8,71
Springfield,5.8,71
Topeka,5.8,71
Wichita Falls,5.8,71
Anchorage,5.9,82
Appleton,5.9,82
Auburn-Opelika,5.9,82
Boise City,5.9,82
Fairbanks,5.9,82
Gettysburg,5.9,82
Joplin,5.9,82
Seattle-Tacoma-Bellevue,5.9,82
California-Lexington Park,6,90
Columbus,6,90
Eau Claire,6,90
Houston-The Woodlands-Sugar Land,6,90
Lancaster,6,90
Lexington-Fayette,6,90
St. Joseph,6,90
Wichita,6,90
Boston-Cambridge-Nashua,6.1,98
Dallas-Fort Worth-Arlington,6.1,98
Duluth,6.1,98
Fond du Lac,6.1,98
Laredo,6.1,98
Longview,6.1,98
Richmond,6.1,98
Sheboygan,6.1,98
Bangor,6.2,106
Baton Rouge,6.2,106
Kansas City,6.2,106
Lebanon,6.2,106
Nashville-Davidson--Murfreesboro--Franklin,6.2,106
Waco,6.2,106
Albany-Schenectady-Troy,6.3,112
Birmingham-Hoover,6.3,112
Blacksburg-Christiansburg-Radford,6.3,112
Cape Girardeau,6.3,112
Charleston-North Charleston,6.3,112
Corpus Christi,6.3,112
Danbury,6.3,112
Durham-Chapel Hill,6.3,112
Harrisburg-Carlisle,6.3,112
Huntsville,6.3,112
